Player,Age,Team,Season,Minutes,PSxG +/- per 90,Crosses Stopped % per 90,Def Actions Outside Penalty Area per 90,Goals Against per 90,Rating
Grace Moloney,27,Reading,2020-21,1980,0.41,0.08,0.32,1.86,6.91
Rebecca Spencer,29,Tottenham,2020-21,1440,0.67,0.05,0.12,1.94,7.14
Aurora Mikalsen,24,Tottenham,2020-21,450,0.27,0.39,0.0,2.0,1.06
Mackenzie Arnold,26,West Ham United,2020-21,1440,0.65,0.12,0.69,2.06,8.29
Courtney Brosnan,24,West Ham United,2020-21,540,0.85,0.19,0.23,1.0,3.5
Manuela Zinsberger,23,Arsenal,2019-20,1080,0.48,0.02,0.18,0.92,3.52
Pauline Peyraud-Magnin,27,Arsenal,2019-20,270,0.54,0.74,0.19,0.67,0.95
Hannah Hampton,18,Birmingham City,2019-20,1170,0.73,0.03,0.17,1.77,5.97
Megan Walsh,24,Brighton and Hove Albion,2019-20,1350,0.48,0.06,0.18,1.67,4.62
Sophie Baggaley,22,Bristol City,2019-20,1260,0.54,0.03,0.1,2.71,4.56
Ann-Katrin Berger,28,Chelsea,2019-20,1170,0.62,0.09,0.08,0.85,5.03
Tinja-Riikka Korpela,33,Everton,2019-20,990,0.58,0.02,0.12,1.45,3.8
Sandy MacIver,21,Everton,2019-20,270,0.0,1.0,0.08,1.67,0.0
Anke Preuß,26,Liverpool,2019-20,900,0.63,0.01,0.05,1.5,3.64
Frances Kitching,21,Liverpool,2019-20,360,0.31,0.24,0.01,1.25,0.46
Ellie Roebuck,19,Manchester City,2019-20,1439,1.0,0.0,0.11,0.56,10.0
Mary Earps,26,Manchester United,2019-20,1260,0.68,0.02,0.06,0.86,5.75
Grace Moloney,26,Reading,2019-20,827,0.31,0.05,0.19,1.85,1.64
Rachael Laws,28,Reading,2019-20,431,0.51,0.31,0.21,1.46,1.43
Rebecca Spencer,28,Tottenham,2019-20,1207,0.71,0.04,0.0,1.34,5.73
Courtney Brosnan,23,West Ham United,2019-20,900,0.38,0.14,0.1,2.2,2.31
Anna Moorhouse,24,West Ham United,2019-20,360,0.07,0.2,1.0,3.0,0.31
Pauline Peyraud-Magnin,26,Arsenal,2018-19,1170,0.6,0.58,0.29,0.85,5.73
Sari van Veenendaal,28,Arsenal,2018-19,630,0.55,1.0,0.13,0.29,2.85
Hannah Hampton,17,Birmingham City,2018-19,1080,0.81,0.13,0.32,0.92,6.05
Ann-Katrin Berger,27,Birmingham City,2018-19,720,1.0,0.39,0.06,0.75,4.82
Marie Hourihan,31,Brighton and Hove Albion,2018-19,1206,0.0,0.17,0.23,2.24,0.0
Sophie Harris,23,Brighton and Hove Albion,2018-19,324,0.69,0.32,0.03,1.39,1.02
Sophie Baggaley,21,Bristol City,2018-19,1800,0.72,0.27,0.39,1.7,10.0
Carly Telford,31,Chelsea,2018-19,900,0.41,0.12,0.7,0.9,2.91
Hedvig Lindahl,35,Chelsea,2018-19,810,0.73,0.24,0.91,0.56,4.7
Kirstie Levell,21,Everton,2018-19,1800,0.13,0.02,0.29,1.9,1.68
Anke Preuß,25,Liverpool,2018-19,1260,0.22,0.16,0.0,2.29,1.57
Frances Kitching,20,Liverpool,2018-19,540,0.41,0.0,0.11,1.0,0.92
Ellie Roebuck,18,Manchester City,2018-19,1350,0.8,0.21,0.24,0.87,7.68
Karen Bardsley,33,Manchester City,2018-19,450,0.67,0.32,0.66,0.8,2.02
Grace Moloney,25,Reading,2018-19,1800,0.45,0.05,0.51,1.5,6.38
Megan Walsh,23,Yeovil Town,2018-19,1800,0.64,0.14,0.14,3.0,8.01
Rebecca Spencer,27,West Ham United,2018-19,992,0.2,0.36,0.53,2.36,1.99
Anna Moorhouse,23,West Ham United,2018-19,805,0.46,0.52,1.0,1.23,3.67
